schema_name,table_name,column_name,dType,is_not_null,description,is_primary_key,not_null_perc,unique_perc
schema,uzp_dwh_fact_outflow,report_dt,date,False,Отчетная дата,False,100.0,0.5
schema,uzp_dwh_fact_outflow,tb_id,int2,False,Идентификатор ТБ,False,100.0,0.11
schema,uzp_dwh_fact_outflow,gosb_id,int4,False,Идентификатор ГОСБ,False,100.0,0.93
schema,uzp_dwh_fact_outflow,inn,int8,False,ИНН,True,100.0,98.75
schema,uzp_dwh_fact_outflow,segment_name,varchar(100),False,Наименование сегмента,False,1.61,0.04
schema,uzp_dwh_fact_outflow,is_force,boolean,False,Признак силовой организации,False,100.0,0.02
schema,uzp_dwh_fact_outflow,mzp_fio,varchar(100),False,ФИО закрепленного МЗП,False,27.21,11.53
schema,uzp_dwh_fact_outflow,saphr_id,int8,False,Табельный номер закрепленного МЗП,False,27.22,11.47
schema,uzp_dwh_fact_outflow,calc_fl_qty,int4,False,"Расчетное количество получателей при расчета Оттока. Обозначается как минимальное кол-во получателей за периоды T-1, T-2, T-12",False,100.0,1.46
schema,uzp_dwh_fact_outflow,prev_m_overflow_qty,int4,False,"Кол-во ФЛ, перешедших получать ЗП в другую организацию, но оставшихся ЗП клиентами СБЕРа",False,100.0,0.01
schema,uzp_dwh_fact_outflow,plan_payee_qty,int4,False,Плановое количество получателей начислений,False,100.0,1.46
schema,uzp_dwh_fact_outflow,fact_payee_qty,int4,False,Фактическое количество получателей начислений,False,100.0,1.14
schema,uzp_dwh_fact_outflow,outflow_qty,int4,False,Кол-во ФЛ переставших быть ЗП клиентами,False,100.0,0.94
schema,uzp_dwh_fact_outflow,outflow_perc,"numeric(18, 4)",False,Доля оттока,False,100.0,0.95
schema,uzp_dwh_fact_outflow,other_inn_emp_perc,"numeric(18, 4)",False,Доля сотрудников получивших выплаты в других ИНН,False,100.0,0.01
schema,uzp_dwh_fact_outflow,m_avg_salary_amt,"numeric(18, 2)",False,Средняя зарплата в отчетный месяц,False,100.0,34.13
schema,uzp_dwh_fact_outflow,prev_m_avg_salary_amt,"numeric(18, 2)",False,Средняя зарплата в предыдущий месяц,True,100.0,83.45
schema,uzp_dwh_fact_outflow,next_m_avg_salary_amt,"numeric(18, 2)",False,Средняя зарплата в следующий месяц,False,100.0,19.21
schema,uzp_dwh_fact_outflow,prev_m_fl_val,int4,False,Численность ФЛ в предыдущий месяц,False,100.0,1.61
schema,uzp_dwh_fact_outflow,next_m_fl_val,int4,False,Численность ФЛ в следующий месяц,False,100.0,0.97
schema,uzp_dwh_fact_outflow,is_task,boolean,False,Признак выставленной задачи,False,100.0,0.02
schema,uzp_dwh_fact_outflow,client_communication_infopovod,varchar(4000),False,Инфоповод для общения с клиентами,False,3.22,3.22
schema,uzp_dwh_fact_outflow,is_oktmo,boolean,False,Признак ОКТМО организации (принадлежит ГОСБ эмиссии карт),False,100.0,0.02
schema,uzp_dwh_fact_outflow,oktmo_subject_code,varchar(2),False,Код субъекта РФ согласно справочнику ОКТМО,False,54.18,1.01
schema,uzp_dwh_fact_outflow,oktmo_subject_district_code,varchar(5),False,"Код субъекта РФ, муниципального района или округа согласно справочнику ОКТМО",False,54.18,15.77
schema,uzp_dwh_fact_outflow,oktmo_subject_district_city_code,varchar(8),False,"Код ОКТМО субъекта РФ, муниципального района или округа, городского или сельского поселения согласно справочнику ОКТМО",False,54.18,18.74
schema,uzp_dwh_fact_outflow,oktmo,varchar(11),False,Код ОКТМО,False,54.18,20.59
schema,uzp_dwh_fact_outflow,inserted_dttm,timestamp,False,Дата и время добавления записи,False,100.0,0.02
schema,uzp_dwh_fact_outflow,author_login,text,False,Логин автора записи,False,100.0,0.02
schema,uzp_dim_gosb,tb_id,int4,False,Номер ТБ,True,100.0,6.63
schema,uzp_dim_gosb,tb_short_name,text,False,Краткое наименование ТБ,False,100.0,6.63
schema,uzp_dim_gosb,tb_full_name,text,False,Полное наименование ТБ,False,100.0,6.63
schema,uzp_dim_gosb,old_gosb_name,text,False,Старое наименование ГОСБ,False,100.0,84.53
schema,uzp_dim_gosb,old_gosb_id,int4,False,Старый номер ГОСБ,True,100.0,98.9
schema,uzp_dim_gosb,new_gosb_name,text,False,Новое наименование ГОСБ,False,100.0,57.46
schema,uzp_dim_gosb,new_gosb_id,int4,False,Новый номер ГОСБ,False,100.0,58.01
schema,uzp_dim_gosb,isu_branch_id,int8,False,Номер филиала для ИСУ,False,80.66,54.14
schema,uzp_dim_gosb,isu_branch_name,text,False,Наименование филиала для ИСУ,False,100.0,57.46
schema,uzp_dim_gosb,web_gosb_id,int4,False,Номер ГОСБ,False,96.69,59.12
schema,uzp_dim_gosb,pirs_gosb_id,int8,False,Номер ГОСБ в АС ПИРС,False,97.24,51.93
schema,uzp_dim_gosb,pirs_gosb_name,text,False,Наименование ГОСБ в АС ПИРС,False,100.0,52.49
schema,uzp_dim_gosb,utc_timezone,int2,False,Часовой пояс UTC,False,100.0,6.08
schema,uzp_dim_gosb,timezone_violation_msk,int2,False,Отклонение часового пояса от МСК,False,100.0,6.08
schema,uzp_dim_gosb,region_id,int2,False,Идентификатор региона,False,61.33,45.3
schema,uzp_dim_gosb,region_name,varchar(512),False,Наименование региона,False,61.33,45.3
schema,uzp_dim_gosb,inserted_dttm,timestamp,False,Дата и время добавления записи,False,100.0,0.55
schema,uzp_dim_gosb,author_login,text,False,Логин автора записи,False,100.0,0.55
schema,uzp_data_split_mzp_sale_funnel,report_dt,date,False,Отчетная дата,False,100.0,0.39
schema,uzp_data_split_mzp_sale_funnel,tb_id,int4,False,Идентификатор ТБ,False,100.0,0.11
schema,uzp_data_split_mzp_sale_funnel,tb_name,text,False,Наименование ТБ,False,100.0,0.11
schema,uzp_data_split_mzp_sale_funnel,gosb_id,int4,False,Идентификатор ГОСБ,False,100.0,0.91
schema,uzp_data_split_mzp_sale_funnel,gosb_name,text,False,Наименование ГОСБ,False,100.0,0.91
schema,uzp_data_split_mzp_sale_funnel,department_manager_saphr_id,int8,False,Табельный номер начальника отдела,False,13.78,0.93
schema,uzp_data_split_mzp_sale_funnel,department_manager_saphr_fio,text,False,ФИО начальника отдела,False,13.78,0.93
schema,uzp_data_split_mzp_sale_funnel,task_manager_saphr_id,int8,False,Табельный номер руководителя направления,False,60.6,2.18
schema,uzp_data_split_mzp_sale_funnel,task_manager_saphr_fio,text,False,ФИО руководителя направления,False,60.6,2.18
schema,uzp_data_split_mzp_sale_funnel,manager_saphr_id,int8,False,Табельный номер начальника управления,False,1.34,0.2
schema,uzp_data_split_mzp_sale_funnel,manager_saphr_fio,text,False,ФИО начальника управления,False,1.34,0.2
schema,uzp_data_split_mzp_sale_funnel,saphr_id,int8,False,Табельный номер сотрудника,False,100.0,20.74
schema,uzp_data_split_mzp_sale_funnel,fio,text,False,ФИО сотрудника,False,100.0,20.72
